sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.50, 0.60, 850, 550, 2, 0.519642, 1.924402, 4.95
0.60, 0.50, 0.60, 850, 1000, 0, 1.212059, 0.825042, 4.90
0.60, 0.50, 0.60, 850, 1000, 1, 0.785156, 1.273632, 4.91
0.60, 0.50, 0.60, 850, 1000, 2, 0.793236, 1.260659, 4.90
0.60, 0.50, 0.60, 1300, 100, 0, 0.336451, 2.972201, 5.01
0.60, 0.50, 0.60, 1300, 100, 1, 0.270521, 3.696571, 5.01
0.60, 0.50, 0.60, 1300, 100, 2, 0.267391, 3.739842, 5.01
0.60, 0.50, 0.60, 1300, 550, 0, 1.038414, 0.963007, 4.93
0.60, 0.50, 0.60, 1300, 550, 1, 0.692752, 1.443518, 4.92
0.60, 0.50, 0.60, 1300, 550, 2, 0.716442, 1.395786, 4.93
0.60, 0.50, 0.60, 1300, 1000, 0, 1.755894, 0.569510, 4.89
0.60, 0.50, 0.60, 1300, 1000, 1, 1.138932, 0.878016, 4.89
0.60, 0.50, 0.60, 1300, 1000, 2, 1.132966, 0.882639, 4.89
0.60, 0.50, 0.75, 400, 100, 0, 0.218336, 4.580097, 4.99
0.60, 0.50, 0.75, 400, 100, 1, 0.177345, 5.638727, 4.99
0.60, 0.50, 0.75, 400, 100, 2, 0.177731, 5.626480, 4.99
0.60, 0.50, 0.75, 400, 550, 0, 0.429686, 2.327281, 4.99
0.60, 0.50, 0.75, 400, 550, 1, 0.347002, 2.881828, 4.98
0.60, 0.50, 0.75, 400, 550, 2, 0.336905, 2.968196, 4.99
0.60, 0.50, 0.75, 400, 1000, 0, 0.644825, 1.550808, 4.95
0.60, 0.50, 0.75, 400, 1000, 1, 0.444335, 2.250554, 4.95
0.60, 0.50, 0.75, 400, 1000, 2, 0.440232, 2.271530, 4.95
0.60, 0.50, 0.75, 850, 100, 0, 0.273559, 3.655519, 4.98
0.60, 0.50, 0.75, 850, 100, 1, 0.235328, 4.249388, 4.98
0.60, 0.50, 0.75, 850, 100, 2, 0.219107, 4.563980, 4.98
0.60, 0.50, 0.75, 850, 550, 0, 0.710222, 1.408010, 4.93
0.60, 0.50, 0.75, 850, 550, 1, 0.501732, 1.993096, 4.93
0.60, 0.50, 0.75, 850, 550, 2, 0.498306, 2.006799, 4.93
0.60, 0.50, 0.75, 850, 1000, 0, 1.195741, 0.836302, 4.90
0.60, 0.50, 0.75, 850, 1000, 1, 0.763723, 1.309375, 4.90
0.60, 0.50, 0.75, 850, 1000, 2, 0.786130, 1.272054, 4.90
0.60, 0.50, 0.75, 1300, 100, 0, 0.331391, 3.017583, 4.96
0.60, 0.50, 0.75, 1300, 100, 1, 0.243976, 4.098764, 4.96
0.60, 0.50, 0.75, 1300, 100, 2, 0.270490, 3.696994, 4.96
0.60, 0.50, 0.75, 1300, 550, 0, 1.029581, 0.971269, 4.91
0.60, 0.50, 0.75, 1300, 550, 1, 0.679532, 1.471601, 4.91
0.60, 0.50, 0.75, 1300, 550, 2, 0.699225, 1.430155, 4.91
0.60, 0.50, 0.75, 1300, 1000, 0, 1.726354, 0.579255, 4.88
0.60, 0.50, 0.75, 1300, 1000, 1, 1.097789, 0.910922, 4.88
0.60, 0.50, 0.75, 1300, 1000, 2, 1.119511, 0.893247, 4.88
0.60, 0.50, 0.90, 400, 100, 0, 0.197862, 5.054028, 4.88
0.60, 0.50, 0.90, 400, 100, 1, 0.170246, 5.873853, 4.88
0.60, 0.50, 0.90, 400, 100, 2, 0.197970, 5.051270, 4.88
0.60, 0.50, 0.90, 400, 550, 0, 0.431827, 2.315742, 4.90
0.60, 0.50, 0.90, 400, 550, 1, 0.314450, 3.180156, 4.89
0.60, 0.50, 0.90, 400, 550, 2, 0.328129, 3.047582, 4.90
0.60, 0.50, 0.90, 400, 1000, 0, 0.606441, 1.648965, 4.86
0.60, 0.50, 0.90, 400, 1000, 1, 0.434692, 2.300479, 4.86
0.60, 0.50, 0.90, 400, 1000, 2, 0.452642, 2.209251, 4.86
0.60, 0.50, 0.90, 850, 100, 0, 0.267868, 3.733182, 4.84
0.60, 0.50, 0.90, 850, 100, 1, 0.216805, 4.612440, 4.84
0.60, 0.50, 0.90, 850, 100, 2, 0.228684, 4.372846, 4.84
0.60, 0.50, 0.90, 850, 550, 0, 0.712690, 1.403135, 4.87
0.60, 0.50, 0.90, 850, 550, 1, 0.465350, 2.148920, 4.86
0.60, 0.50, 0.90, 850, 550, 2, 0.490477, 2.038832, 4.87
0.60, 0.50, 0.90, 850, 1000, 0, 1.156918, 0.864365, 4.83
0.60, 0.50, 0.90, 850, 1000, 1, 0.749771, 1.333741, 4.83
0.60, 0.50, 0.90, 850, 1000, 2, 0.761290, 1.313560, 4.83
0.60, 0.50, 0.90, 1300, 100, 0, 0.329061, 3.038950, 4.83
0.60, 0.50, 0.90, 1300, 100, 1, 0.263149, 3.800128, 4.83
0.60, 0.50, 0.90, 1300, 100, 2, 0.264489, 3.780876, 4.83
0.60, 0.50, 0.90, 1300, 550, 0, 1.006726, 0.993319, 4.84
0.60, 0.50, 0.90, 1300, 550, 1, 0.644058, 1.552655, 4.84
