sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.35, 0.60, 400, 550, 2, 5.297213, 5.663355, 3.80
0.60, 0.35, 0.60, 400, 1000, 0, 14.511080, 2.067386, 3.78
0.60, 0.35, 0.60, 400, 1000, 1, 9.145102, 3.280445, 3.78
0.60, 0.35, 0.60, 400, 1000, 2, 9.643644, 3.110857, 3.78
0.60, 0.35, 0.60, 850, 100, 0, 3.463094, 8.662774, 3.92
0.60, 0.35, 0.60, 850, 100, 1, 2.367528, 12.671445, 3.92
0.60, 0.35, 0.60, 850, 100, 2, 2.372306, 12.645923, 3.92
0.60, 0.35, 0.60, 850, 550, 0, 17.172480, 1.746981, 3.78
0.60, 0.35, 0.60, 850, 550, 1, 10.691566, 2.805950, 3.78
0.60, 0.35, 0.60, 850, 550, 2, 11.319561, 2.650279, 3.78
0.60, 0.35, 0.60, 850, 1000, 0, 31.031272, 0.966767, 3.77
0.60, 0.35, 0.60, 850, 1000, 1, 19.568612, 1.533067, 3.77
0.60, 0.35, 0.60, 850, 1000, 2, 20.181529, 1.486508, 3.77
0.60, 0.35, 0.60, 1300, 100, 0, 4.960097, 6.048269, 3.91
0.60, 0.35, 0.60, 1300, 100, 1, 3.307874, 9.069269, 3.91
0.60, 0.35, 0.60, 1300, 100, 2, 3.322578, 9.029133, 3.91
0.60, 0.35, 0.60, 1300, 550, 0, 25.907848, 1.157950, 3.78
0.60, 0.35, 0.60, 1300, 550, 1, 16.474172, 1.821032, 3.77
0.60, 0.35, 0.60, 1300, 550, 2, 17.093976, 1.755004, 3.78
0.60, 0.35, 0.60, 1300, 1000, 0, 46.828914, 0.640630, 3.77
0.60, 0.35, 0.60, 1300, 1000, 1, 29.092083, 1.031208, 3.77
0.60, 0.35, 0.60, 1300, 1000, 2, 31.566125, 0.950386, 3.77
0.60, 0.35, 0.75, 400, 100, 0, 1.827374, 16.417001, 3.90
0.60, 0.35, 0.75, 400, 100, 1, 1.299573, 23.084505, 3.90
0.60, 0.35, 0.75, 400, 100, 2, 1.317098, 22.777348, 3.90
0.60, 0.35, 0.75, 400, 550, 0, 8.080761, 3.712522, 3.75
0.60, 0.35, 0.75, 400, 550, 1, 5.068577, 5.918821, 3.74
0.60, 0.35, 0.75, 400, 550, 2, 5.186855, 5.783852, 3.75
0.60, 0.35, 0.75, 400, 1000, 0, 14.367481, 2.088049, 3.72
0.60, 0.35, 0.75, 400, 1000, 1, 8.954669, 3.350208, 3.72
0.60, 0.35, 0.75, 400, 1000, 2, 9.434521, 3.179812, 3.72
0.60, 0.35, 0.75, 850, 100, 0, 3.448925, 8.698363, 3.86
0.60, 0.35, 0.75, 850, 100, 1, 2.266440, 13.236618, 3.86
0.60, 0.35, 0.75, 850, 100, 2, 2.343508, 12.801322, 3.86
0.60, 0.35, 0.75, 850, 550, 0, 16.948028, 1.770117, 3.73
0.60, 0.35, 0.75, 850, 550, 1, 10.453391, 2.869882, 3.72
0.60, 0.35, 0.75, 850, 550, 2, 11.071287, 2.709712, 3.73
0.60, 0.35, 0.75, 850, 1000, 0, 30.612277, 0.979999, 3.71
0.60, 0.35, 0.75, 850, 1000, 1, 19.180012, 1.564128, 3.71
0.60, 0.35, 0.75, 850, 1000, 2, 19.992129, 1.500591, 3.71
0.60, 0.35, 0.75, 1300, 100, 0, 4.899217, 6.123427, 3.86
0.60, 0.35, 0.75, 1300, 100, 1, 3.184010, 9.422081, 3.86
0.60, 0.35, 0.75, 1300, 100, 2, 3.220731, 9.314656, 3.86
0.60, 0.35, 0.75, 1300, 550, 0, 25.758361, 1.164670, 3.72
0.60, 0.35, 0.75, 1300, 550, 1, 16.058647, 1.868152, 3.71
0.60, 0.35, 0.75, 1300, 550, 2, 16.794844, 1.786262, 3.72
0.60, 0.35, 0.75, 1300, 1000, 0, 46.273531, 0.648319, 3.70
0.60, 0.35, 0.75, 1300, 1000, 1, 28.529054, 1.051560, 3.70
0.60, 0.35, 0.75, 1300, 1000, 2, 30.464066, 0.984767, 3.70
0.60, 0.35, 0.90, 400, 100, 0, 1.782217, 16.832967, 3.73
0.60, 0.35, 0.90, 400, 100, 1, 1.198838, 25.024232, 3.73
0.60, 0.35, 0.90, 400, 100, 2, 1.244325, 24.109457, 3.73
