sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.35, 0.75, 400, 550, 1, 5.434865, 5.519916, 8.14
0.60, 0.35, 0.75, 400, 550, 2, 5.392687, 5.563089, 8.14
0.60, 0.35, 0.75, 400, 1000, 0, 14.679640, 2.043647, 8.17
0.60, 0.35, 0.75, 400, 1000, 1, 9.170160, 3.271481, 8.17
0.60, 0.35, 0.75, 400, 1000, 2, 9.345893, 3.209966, 8.17
0.60, 0.35, 0.75, 850, 100, 0, 3.870492, 7.750953, 8.14
0.60, 0.35, 0.75, 850, 100, 1, 2.718110, 11.037081, 8.12
0.60, 0.35, 0.75, 850, 100, 2, 2.703212, 11.097909, 8.14
0.60, 0.35, 0.75, 850, 550, 0, 17.076395, 1.756811, 8.14
0.60, 0.35, 0.75, 850, 550, 1, 10.600527, 2.830048, 8.13
0.60, 0.35, 0.75, 850, 550, 2, 10.625364, 2.823433, 8.14
0.60, 0.35, 0.75, 850, 1000, 0, 30.808193, 0.973767, 8.17
0.60, 0.35, 0.75, 850, 1000, 1, 18.378169, 1.632372, 8.16
0.60, 0.35, 0.75, 850, 1000, 2, 18.872698, 1.589598, 8.17
0.60, 0.35, 0.75, 1300, 100, 0, 5.355954, 5.601243, 8.11
0.60, 0.35, 0.75, 1300, 100, 1, 3.666484, 8.182226, 8.11
0.60, 0.35, 0.75, 1300, 100, 2, 3.576654, 8.387728, 8.11
0.60, 0.35, 0.75, 1300, 550, 0, 25.999842, 1.153853, 8.14
0.60, 0.35, 0.75, 1300, 550, 1, 15.434176, 1.943738, 8.13
0.60, 0.35, 0.75, 1300, 550, 2, 16.022476, 1.872370, 8.14
0.60, 0.35, 0.75, 1300, 1000, 0, 46.366626, 0.647017, 8.17
0.60, 0.35, 0.75, 1300, 1000, 1, 27.259882, 1.100518, 8.17
0.60, 0.35, 0.75, 1300, 1000, 2, 28.816000, 1.041088, 8.17
0.60, 0.35, 0.90, 400, 100, 0, 2.319304, 12.934915, 8.29
0.60, 0.35, 0.90, 400, 100, 1, 1.764471, 17.002263, 8.29
0.60, 0.35, 0.90, 400, 100, 2, 1.804937, 16.621079, 8.29
0.60, 0.35, 0.90, 400, 550, 0, 8.345675, 3.594676, 8.27
0.60, 0.35, 0.90, 400, 550, 1, 5.218845, 5.748398, 8.27
0.60, 0.35, 0.90, 400, 550, 2, 5.334435, 5.623838, 8.27
0.60, 0.35, 0.90, 400, 1000, 0, 14.464862, 2.073991, 8.29
0.60, 0.35, 0.90, 400, 1000, 1, 8.818834, 3.401810, 8.29
0.60, 0.35, 0.90, 400, 1000, 2, 9.210641, 3.257102, 8.29
0.60, 0.35, 0.90, 850, 100, 0, 3.865484, 7.760994, 8.25
0.60, 0.35, 0.90, 850, 100, 1, 2.718989, 11.033513, 8.24
0.60, 0.35, 0.90, 850, 100, 2, 2.685334, 11.171795, 8.25
0.60, 0.35, 0.90, 850, 550, 0, 17.071925, 1.757271, 8.26
0.60, 0.35, 0.90, 850, 550, 1, 10.151134, 2.955335, 8.25
0.60, 0.35, 0.90, 850, 550, 2, 10.527154, 2.849773, 8.26
0.60, 0.35, 0.90, 850, 1000, 0, 30.207848, 0.993119, 8.26
0.60, 0.35, 0.90, 850, 1000, 1, 18.048041, 1.662230, 8.25
0.60, 0.35, 0.90, 850, 1000, 2, 18.927553, 1.584991, 8.26
0.60, 0.35, 0.90, 1300, 100, 0, 5.288553, 5.672629, 8.23
0.60, 0.35, 0.90, 1300, 100, 1, 3.580182, 8.379462, 8.23
0.60, 0.35, 0.90, 1300, 100, 2, 3.514279, 8.536602, 8.23
0.60, 0.35, 0.90, 1300, 550, 0, 25.692672, 1.167648, 8.26
0.60, 0.35, 0.90, 1300, 550, 1, 15.346300, 1.954869, 8.25
0.60, 0.35, 0.90, 1300, 550, 2, 15.867294, 1.890682, 8.26
0.60, 0.35, 0.90, 1300, 1000, 0, 45.720299, 0.656164, 8.25
0.60, 0.35, 0.90, 1300, 1000, 1, 26.772346, 1.120559, 8.25
0.60, 0.35, 0.90, 1300, 1000, 2, 27.615416, 1.086350, 8.25
0.60, 0.50, 0.60, 400, 100, 0, 2.299615, 13.045662, 7.83
0.60, 0.50, 0.60, 400, 100, 1, 1.732237, 17.318646, 7.83
0.60, 0.50, 0.60, 400, 100, 2, 1.724449, 17.396861, 7.83
0.60, 0.50, 0.60, 400, 550, 0, 8.460689, 3.545811, 7.96
0.60, 0.50, 0.60, 400, 550, 1, 5.499794, 5.454750, 7.96
0.60, 0.50, 0.60, 400, 550, 2, 5.478185, 5.476266, 7.96
0.60, 0.50, 0.60, 400, 1000, 0, 14.836735, 2.022008, 7.92
0.60, 0.50, 0.60, 400, 1000, 1, 9.430859, 3.181046, 7.92
0.60, 0.50, 0.60, 400, 1000, 2, 9.512685, 3.153684, 7.92
0.60, 0.50, 0.60, 850, 100, 0, 3.896607, 7.699006, 7.81
0.60, 0.50, 0.60, 850, 100, 1, 2.798039, 10.721795, 7.81
0.60, 0.50, 0.60, 850, 100, 2, 2.736363, 10.963458, 7.81
0.60, 0.50, 0.60, 850, 550, 0, 17.402540, 1.723886, 7.98
0.60, 0.50, 0.60, 850, 550, 1, 10.882100, 2.756821, 7.97
0.60, 0.50, 0.60, 850, 550, 2, 11.081697, 2.707167, 7.98
0.60, 0.50, 0.60, 850, 1000, 0, 30.906277, 0.970677, 7.88
0.60, 0.50, 0.60, 850, 1000, 1, 18.849032, 1.591594, 7.88
0.60, 0.50, 0.60, 850, 1000, 2, 19.218790, 1.560972, 7.88
0.60, 0.50, 0.60, 1300, 100, 0, 5.498459, 5.456074, 7.82
0.60, 0.50, 0.60, 1300, 100, 1, 3.623795, 8.278614, 7.82
0.60, 0.50, 0.60, 1300, 100, 2, 3.646636, 8.226760, 7.82
0.60, 0.50, 0.60, 1300, 550, 0, 26.103668, 1.149264, 7.99
0.60, 0.50, 0.60, 1300, 550, 1, 15.948357, 1.881072, 7.99
